unit_type	source_text	target_text	source_name	paragraph_id	sentence_id	rejection_reasons
sentence	Yea, they deny that they shall attain the Presence of their Lord.”	Yea, they deny that they shall attain the Presence of their Lord.	Yea, they deny that they shall attain the Presence of their Lord.”	Yea, they deny that they shall attain the Presence of their Lord.”	Yea, they deny that they shall attain the Presence of their Lord.”	LowArabicScriptCount
sentence	انّ البیان جوهر یطلب النّفوذ و الاعتدال	Human utterance is an essence which aspireth to exert its influence and needeth moderation.	Lawh-i-Siyyid-i-Mihdiy-i-Dahaji	16	0	Duplicate
sentence	و هم‌چنین ملاحظه نمائید زمانی که نفحات قدسیّهٴ روح‌ الله خطّهٴ فلسطین و جلیل و سواحل نهر اردن و جوانب اورشلیم را معطّر ساخته و الحان جلیل انجیل بمسامع روحانیان درآمده در آن زمان کلّ قبایل و طوایف آسیا و اروپ و افریک و امریک و اوقیانوس که جزایر بحر محیط است مجوس و بت‌پرست و غافل از خطاب یوم الست بودند.		The-Secret-Divine-Civilization	104	1	EmptyField;LowLatinScriptCount
sentence	من تشبّه بقوم فهو منهم	He who imitates a people is one of them.	The-Secret-Divine-Civilization	234	0	Duplicate
sentence	چهار وادی	The Four Valleys	Four-Valleys	0	1	Duplicate
sentence	و دیگر میفرماید:	Likewise He saith,	Four-Valleys	36	1	Duplicate
sentence	امور ملّت معلّق است برجال بیت عدل الهی.	The men of God's House of Justice have been charged with the affairs of the people.	Ishraqat	82	1	Duplicate
sentence	اخرق حجبات الظّنون و الاوهام لتری شمس العلم مشرقه من هذا الافق المنیر.	Rend thou asunder the veils of idle fancies and vain imaginings, that thou mayest behold the Daystar of knowledge shining from this resplendent Horizon.	Lawh-i-Burhan	6	0	Duplicate
sentence	یا ایّها الغافل	O heedless one!	Lawh-i-Burhan	19	0	Duplicate
sentence	انّه یواجه اهل البهآء بالفرح و الانبساط.	Such a ruler will, with joy and gladness, turn his face towards, and extend his favors unto, the people of Bahá.	gleanings-writings-bahaullah	315	0	Duplicate
sentence	و سمّیت بهذا الاسم الّذی به لاح نیّر الفضل و اشرقت السّموات و الارضون.	Be thou glad for this name that hath been conferred upon thee—a name through which the Daystar of grace hath shed its splendor, through which both earth and heaven have been illumined.	gleanings-writings-bahaullah	316	0	Duplicate
sentence	المحیط.	His authority embraceth all things.	gleanings-writings-bahaullah	317	0	Duplicate
sentence	انّه لا تنقطع عنک لحظات الالطاف.	The eye of His loving-kindness shall everlastingly be directed towards thee.	gleanings-writings-bahaullah	317	0	Duplicate
sentence	سوف یاخذک الاطمینان بعد الاضطراب.	The day is approaching when thy agitation will have been transmuted into peace and quiet calm.	gleanings-writings-bahaullah	317	0	Duplicate
sentence	هوالله.	He is God.	The-Tablets-Divine-Plan	121	0	Duplicate
sentence	لوح بافتخار احبّای ایالات مرکزی	Tablet to the Bahá'ís of the Central States	The-Tablets-Divine-Plan	214	1	Duplicate
sentence	لوح بافتخار احبّای ایالات غربی	Tablet to the Bahá'ís of the Western States	The-Tablets-Divine-Plan	241	1	Duplicate
sentence	لوح بافتخار احبّای ایالات متّحده و کانادا	Tablet to the Bahá'ís of the United States and Canada	The-Tablets-Divine-Plan	289	1	Duplicate
sentence	و هم‌چنین میفرماید	So likewise He saith:	Traveler-Narrative	139	1	Duplicate
sentence	الهی الهی!	O God, my God.	Will-and-Testament-Abdul-baha	42	0	Duplicate
sentence	و هر که را بیندازی از خاک پستتر بلکه هیچ از او بهتر.	and whosoever Thou dost abase is made lower than dust, nay, less than nothing.	Prayers-and-Meditations	986	1	Duplicate
sentence	لا اله الّا انت العلیّ الابهی.	No God is there but Thee, the Most Exalted, the All Glorious.	Prayers-and-Meditations	1217	0	Duplicate
sentence	فی‌الحقیقه کنز حقیقی از برای انسان علم اوست و اوست علّت عزّت و نعمت و فرح و نشاط و بهجت و انبساط.	In truth, knowledge is a veritable treasure for man, and a source of glory, of bounty, of joy, of exaltation, of cheer and gladness unto him.	Tajalliyat	25	1	Duplicate
sentence	سبحانک من ان توصف بوصف ما سواک او تعرف بعرفان دونک.	Exalted art Thou above the description of anyone save Thyself, and the comprehension of aught else except Thee.	Kitab-i-Aqdas	5-16	0	Duplicate
